transaction_id,order_id,customer_id,amount,timestamp,customer_name
TXN-DEMO-001,ORD-A-001,CUST-A,127.50,2026-02-01T09:00:00,Acme Corp
TXN-DEMO-002,ORD-A-002,CUST-A,342.00,2026-02-05T14:30:00,Acme Corp
TXN-DEMO-003,ORD-A-003,CUST-A,891.25,2026-02-10T11:15:00,Acme Corp
TXN-DEMO-004,ORD-A-004,CUST-A,1045.80,2026-02-14T16:00:00,Acme Corp
TXN-DEMO-005,ORD-A-005,CUST-A,2234.00,2026-02-18T10:45:00,Acme Corp
TXN-DEMO-006,ORD-A-006,CUST-A,456.75,2026-02-22T08:20:00,Acme Corp
TXN-DEMO-007,ORD-A-007,CUST-A,6789.40,2026-02-26T13:00:00,Acme Corp
TXN-DEMO-008,ORD-A-008,CUST-A,198.60,2026-03-02T09:30:00,Acme Corp
TXN-DEMO-009,ORD-A-009,CUST-A,3120.00,2026-03-06T15:45:00,Acme Corp
TXN-DEMO-010,ORD-A-010,CUST-A,544.20,2026-03-10T11:00:00,Acme Corp
TXN-DEMO-011,ORD-A-DUP,CUST-A,500.00,2026-03-10T12:00:00,Acme Corp
TXN-DEMO-012,ORD-A-DUP,CUST-A,500.00,2026-03-10T12:05:00,Acme Corp
TXN-DEMO-013,ORD-B-001,CUST-B,234.00,2026-02-15T10:00:00,Beta Inc
TXN-DEMO-014,ORD-B-002,CUST-B,567.50,2026-02-20T14:00:00,Beta Inc
TXN-DEMO-015,ORD-B-003,CUST-B,1890.25,2026-02-25T09:30:00,Beta Inc
TXN-DEMO-016,ORD-B-004,CUST-B,423.80,2026-03-01T12:00:00,Beta Inc
TXN-DEMO-017,ORD-B-005,CUST-B,765.00,2026-03-05T16:30:00,Beta Inc
TXN-DEMO-018,ORD-C-001,CUST-C,112.00,2026-02-20T08:00:00,Gamma LLC
TXN-DEMO-019,ORD-C-002,CUST-C,445.30,2026-02-25T11:00:00,Gamma LLC
TXN-DEMO-020,ORD-C-003,CUST-C,2789.00,2026-03-02T14:00:00,Gamma LLC
TXN-DEMO-021,ORD-C-004,CUST-C,334.60,2026-03-08T10:00:00,Gamma LLC
TXN-DEMO-022,ORD-V-001,CUST-V,210.00,2026-02-01T09:00:00,Velocity Test Co
TXN-DEMO-023,ORD-V-002,CUST-V,380.50,2026-02-15T10:00:00,Velocity Test Co
TXN-DEMO-024,ORD-V-003,CUST-V,95.25,2026-03-01T11:00:00,Velocity Test Co
TXN-DEMO-025,ORD-V-004,CUST-V,520.00,2026-03-10T09:00:00,Velocity Test Co
TXN-DEMO-026,ORD-V-005,CUST-V,1250.00,2026-03-14T20:00:00,Velocity Test Co
TXN-DEMO-027,ORD-V-006,CUST-V,890.00,2026-03-14T21:00:00,Velocity Test Co
TXN-DEMO-028,ORD-V-007,CUST-V,445.00,2026-03-14T22:30:00,Velocity Test Co
TXN-DEMO-029,ORD-V-008,CUST-V,2100.00,2026-03-14T23:15:00,Velocity Test Co
TXN-DEMO-030,ORD-V-009,CUST-V,675.00,2026-03-15T00:00:00,Velocity Test Co
TXN-DEMO-031,ORD-V-010,CUST-V,320.00,2026-03-15T01:00:00,Velocity Test Co
TXN-DEMO-032,ORD-D-001,CUST-D,88.00,2026-02-04T12:00:00,Delta Ltd
TXN-DEMO-033,ORD-D-002,CUST-D,132.00,2026-02-11T12:00:00,Delta Ltd
TXN-DEMO-034,ORD-D-003,CUST-D,276.00,2026-02-18T12:00:00,Delta Ltd
TXN-DEMO-035,ORD-D-004,CUST-D,54.00,2026-02-25T12:00:00,Delta Ltd
TXN-DEMO-036,ORD-E-001,CUST-E,321.00,2026-02-06T15:00:00,Epsilon Inc
TXN-DEMO-037,ORD-E-002,CUST-E,654.00,2026-02-13T15:00:00,Epsilon Inc
TXN-DEMO-038,ORD-E-003,CUST-E,987.00,2026-02-22T15:00:00,Epsilon Inc
TXN-DEMO-039,ORD-E-004,CUST-E,1234.00,2026-03-01T15:00:00,Epsilon Inc
TXN-DEMO-040,ORD-F-001,CUST-F,44.44,2026-02-01T10:00:00,Zeta Corp
TXN-DEMO-041,ORD-F-002,CUST-F,55.55,2026-02-09T10:00:00,Zeta Corp
TXN-DEMO-042,ORD-F-003,CUST-F,66.66,2026-02-17T10:00:00,Zeta Corp
TXN-DEMO-043,ORD-F-004,CUST-F,77.77,2026-02-24T10:00:00,Zeta Corp
TXN-DEMO-044,ORD-G-001,CUST-G,199.99,2026-02-03T09:00:00,Eta LLC
TXN-DEMO-045,ORD-G-002,CUST-G,299.99,2026-02-11T09:00:00,Eta LLC
TXN-DEMO-046,ORD-G-003,CUST-G,399.99,2026-02-19T09:00:00,Eta LLC
TXN-DEMO-047,ORD-G-004,CUST-G,499.99,2026-02-27T09:00:00,Eta LLC
TXN-DEMO-048,ORD-OUT-001,CUST-OUT,51200.00,2026-03-12T14:00:00,Outlier Vendor
TXN-DEMO-049,ORD-OUT-002,CUST-OUT,3.14,2026-03-13T08:00:00,Outlier Vendor
TXN-DEMO-050,ORD-H-001,CUST-H,156.00,2026-02-07T13:00:00,Theta Co
TXN-DEMO-051,ORD-H-002,CUST-H,284.00,2026-02-16T13:00:00,Theta Co
TXN-DEMO-052,ORD-H-003,CUST-H,412.00,2026-02-24T13:00:00,Theta Co
